Source,Target,Weight
50,323,1.0
50,434,1.0
50,1424,1.0
50,1502,1.0
50,1791,1.0
50,1944,1.0
50,2189,1.0
50,2342,1.0
50,2410,1.0
50,2414,1.0
50,2601,1.0
50,2635,1.0
50,2793,1.0
50,3023,1.0
50,3198,1.0
50,3236,1.0
50,3273,1.0
50,3393,1.0
50,3865,1.0
50,4085,1.0
50,4214,1.0
51,221,1.0
51,271,1.0
51,866,1.0
51,1813,1.0
51,1897,1.0
51,1905,1.0
51,2597,1.0
51,2919,1.0
51,2925,1.0
51,3088,1.0
51,3355,1.0
51,3388,1.0
51,3400,1.0
51,3656,1.0
51,3869,1.0
51,4104,1.0
52,1895,1.0
52,3110,1.0
53,1224,1.0
53,1397,1.0
53,1399,1.0
53,1940,1.0
53,2035,1.0
53,2265,1.0
53,2834,1.0
53,2907,1.0
53,3211,1.0
53,3524,1.0
53,3584,1.0
56,554,1.0
56,3209,1.0
58,70,1.0
58,88,1.0
58,112,1.0
58,347,1.0
58,411,1.0
58,456,1.0
58,563,1.0
58,630,1.0
58,725,1.0
58,913,1.0
58,1092,1.0
58,1110,1.0
58,1130,1.0
58,1136,1.0
58,1152,1.0
58,1197,1.0
58,1217,1.0
58,1297,1.0
58,1321,1.0
58,1334,1.0
58,1362,1.0
58,1386,1.0
58,1404,1.0
58,1427,1.0
58,1522,1.0
58,1530,1.0
58,1567,1.0
58,1601,1.0
58,1636,1.0
58,1772,1.0
58,1875,1.0
58,2022,1.0
58,2132,1.0
58,2207,1.0
58,2242,1.0
58,2344,1.0
58,2627,1.0
58,2777,1.0
58,2866,1.0
58,3069,1.0
58,3195,1.0
58,3219,1.0
58,3231,1.0
58,3241,1.0
58,3246,1.0
58,3468,1.0
58,3526,1.0
58,3561,1.0
58,3589,1.0
58,3616,1.0
58,3678,1.0
58,3845,1.0
58,3897,1.0
58,4008,1.0
58,4067,1.0
58,4193,1.0
58,4230,1.0
59,82,1.0
59,191,1.0
59,258,1.0
59,282,1.0
59,311,1.0
59,423,1.0
59,448,1.0
59,480,1.0
59,486,1.0
59,607,1.0
59,610,1.0
59,639,1.0
59,669,1.0
59,876,1.0
59,890,1.0
59,915,1.0
59,951,1.0
59,958,1.0
59,978,1.0
59,1012,1.0
59,1015,1.0
59,1071,1.0
59,1149,1.0
59,1277,1.0
59,1308,1.0
59,1330,1.0
59,1333,1.0
59,1455,1.0
59,1542,1.0
59,1692,1.0
59,1747,1.0
59,1804,1.0
59,1848,1.0
59,1885,1.0
59,1976,1.0
59,1980,1.0
59,1984,1.0
59,2052,1.0
59,2068,1.0
59,2190,1.0
59,2216,1.0
59,2295,1.0
59,2356,1.0
59,2358,1.0
59,2377,1.0
59,2386,1.0
59,2419,1.0
59,2522,1.0
59,2706,1.0
59,2790,1.0
59,2889,1.0
59,2891,1.0
59,3047,1.0
59,3089,1.0
59,3107,1.0
59,3156,1.0
59,3262,1.0
59,3270,1.0
59,3295,1.0
59,3338,1.0
59,3477,1.0
59,3541,1.0
59,3598,1.0
59,3710,1.0
59,3712,1.0
59,3752,1.0
59,3816,1.0
59,3838,1.0
59,3855,1.0
59,3888,1.0
59,3898,1.0
59,3940,1.0
59,3942,1.0
59,3999,1.0
59,4028,1.0
59,4034,1.0
59,4046,1.0
59,4073,1.0
59,4096,1.0
59,4185,1.0
60,240,1.0
60,246,1.0
60,386,1.0
60,393,1.0
60,421,1.0
60,466,1.0
60,507,1.0
60,641,1.0
60,707,1.0
60,836,1.0
60,895,1.0
60,989,1.0
60,999,1.0
60,1144,1.0
60,1179,1.0
60,1357,1.0
60,1527,1.0
60,1582,1.0
60,1589,1.0
60,1603,1.0
60,1663,1.0
60,1881,1.0
60,1930,1.0
60,2056,1.0
60,2120,1.0
60,2198,1.0
60,2293,1.0
60,2311,1.0
60,2371,1.0
60,2405,1.0
60,2552,1.0
60,2894,1.0
60,3137,1.0
60,3207,1.0
60,3256,1.0
60,3312,1.0
60,3367,1.0
60,3563,1.0
60,3703,1.0
60,3737,1.0
60,3780,1.0
60,3817,1.0
60,3922,1.0
60,4062,1.0
60,4194,1.0
60,4222,1.0
61,1076,1.0
62,428,1.0
62,2756,1.0
63,218,1.0
63,275,1.0
63,569,1.0
63,574,1.0
63,699,1.0
63,729,1.0
63,752,1.0
63,916,1.0
63,1107,1.0
63,1365,1.0
63,1441,1.0
63,1561,1.0
63,1564,1.0
63,1633,1.0
63,1637,1.0
63,1728,1.0
63,2010,1.0
63,2096,1.0
63,2192,1.0
63,2205,1.0
63,2292,1.0
63,2364,1.0
63,2418,1.0
63,2530,1.0
63,2717,1.0
63,2759,1.0
63,3132,1.0
63,3977,1.0
63,3990,1.0
63,4053,1.0
64,369,1.0
64,856,1.0
64,1093,1.0
64,1649,1.0
64,2564,1.0
64,2642,1.0
64,2663,1.0
64,3397,1.0
64,3498,1.0
64,3663,1.0
64,3920,1.0
64,3961,1.0
64,4016,1.0
65,74,1.0
65,300,1.0
65,685,1.0
65,993,1.0
65,998,1.0
65,1000,1.0
65,1210,1.0
65,2027,1.0
65,2101,1.0
65,2720,1.0
65,2911,1.0
65,2973,1.0
65,3042,1.0
65,4272,1.0
66,1268,1.0
66,1846,1.0
66,2748,1.0
67,3286,1.0
68,164,1.0
68,509,1.0
68,523,1.0
68,545,1.0
68,567,1.0
68,687,1.0
68,806,1.0
68,821,1.0
68,906,1.0
68,957,1.0
68,1129,1.0
68,1134,1.0
68,1168,1.0
68,1209,1.0
68,1311,1.0
68,1385,1.0
68,1486,1.0
68,1501,1.0
68,1618,1.0
68,1707,1.0
68,1996,1.0
68,2006,1.0
68,2218,1.0
68,2301,1.0
68,2412,1.0
68,2575,1.0
68,2602,1.0
68,2607,1.0
68,2811,1.0
68,2814,1.0
68,3240,1.0
68,3327,1.0
68,3366,1.0
68,3471,1.0
68,3760,1.0
68,3802,1.0
68,3978,1.0
68,3996,1.0
68,4082,1.0
70,88,1.0
70,112,1.0
70,347,1.0
70,411,1.0
70,456,1.0
70,563,1.0
70,630,1.0
70,725,1.0
70,913,1.0
70,1092,1.0
70,1110,1.0
70,1130,1.0
70,1136,1.0
70,1152,1.0
70,1197,1.0
70,1217,1.0
70,1297,1.0
70,1321,1.0
70,1334,1.0
70,1362,1.0
70,1386,1.0
70,1404,1.0
70,1427,1.0
70,1522,1.0
70,1530,1.0
70,1567,1.0
70,1601,1.0
70,1636,1.0
70,1772,1.0
70,1875,1.0
70,2022,1.0
70,2132,1.0
70,2207,1.0
70,2242,1.0
70,2344,1.0
70,2627,1.0
70,2777,1.0
70,2866,1.0
70,3069,1.0
70,3195,1.0
70,3219,1.0
70,3231,1.0
70,3241,1.0
70,3246,1.0
70,3468,1.0
70,3526,1.0
70,3561,1.0
70,3589,1.0
70,3616,1.0
70,3678,1.0
70,3845,1.0
70,3897,1.0
70,4008,1.0
70,4067,1.0
70,4193,1.0
70,4230,1.0
72,244,1.0
72,280,1.0
72,445,1.0
72,482,1.0
72,621,1.0
72,1340,1.0
72,1442,1.0
72,1514,1.0
72,1934,1.0
72,2108,1.0
72,2268,1.0
72,2398,1.0
72,2978,1.0
72,3168,1.0
72,3371,1.0
72,3639,1.0
72,3790,1.0
72,4059,1.0
72,4192,1.0
73,472,1.0
73,671,1.0
73,1395,1.0
73,1815,1.0
73,2117,1.0
73,2211,1.0
73,2611,1.0
73,3001,1.0
73,3272,1.0
73,3411,1.0
73,3548,1.0
73,3618,1.0
73,3704,1.0
74,300,1.0
74,685,1.0
74,993,1.0
74,998,1.0
74,1000,1.0
74,1210,1.0
74,2027,1.0
74,2101,1.0
74,2720,1.0
74,2911,1.0
74,2973,1.0
74,3042,1.0
74,4272,1.0
75,1624,1.0
75,1832,1.0
75,2436,1.0
75,2731,1.0
75,2789,1.0
75,3463,1.0
75,3829,1.0
75,4242,1.0
76,156,1.0
76,847,1.0
76,1258,1.0
76,1286,1.0
77,2980,1.0
78,312,1.0
78,1115,1.0
78,1262,1.0
78,2548,1.0
78,2681,1.0
78,2715,1.0
78,2874,1.0
78,3014,1.0
78,4182,1.0
79,193,1.0
79,614,1.0
79,964,1.0
79,1425,1.0
79,1452,1.0
79,1462,1.0
79,1478,1.0
79,1802,1.0
79,1836,1.0
79,1962,1.0
79,1967,1.0
79,2089,1.0
79,2221,1.0
79,2345,1.0
79,2400,1.0
79,2464,1.0
79,2653,1.0
79,2655,1.0
79,3291,1.0
79,3370,1.0
79,3492,1.0
79,3640,1.0
79,3835,1.0
80,798,1.0
80,2580,1.0
80,3903,1.0
80,4274,1.0
81,201,1.0
81,343,1.0
81,399,1.0
81,487,1.0
81,536,1.0
81,565,1.0
81,907,1.0
81,1070,1.0
81,2359,1.0
81,2726,1.0
81,2727,1.0
81,2916,1.0
81,3003,1.0
81,3117,1.0
81,3135,1.0
81,3401,1.0
81,3406,1.0
81,3494,1.0
81,3629,1.0
81,3725,1.0
82,191,1.0
82,258,1.0
82,282,1.0
82,311,1.0
82,423,1.0
82,448,1.0
82,480,1.0
82,486,1.0
82,607,1.0
82,610,1.0
82,639,1.0
82,669,1.0
82,876,1.0
82,890,1.0
82,915,1.0
82,951,1.0
82,958,1.0
82,978,1.0
82,1012,1.0
82,1015,1.0
